experiment,corruption,severity,intervention_type,fraction,alpha,norm_cap,layer_id,mask_seed,U,n_images,recovery_rate,new_error_rate,corruption_failure_set_size,still_correct_set_size,margin_change,model_fingerprint
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,11,0.15000000000000568,2000,0.13432835820895522,0.012869038607115822,134,1321,0.01987170398235321,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,12,-0.30000000000000027,2000,0.07462686567164178,0.015897047691143074,134,1321,0.029121511816978453,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,13,-0.14999999999999458,2000,0.06716417910447761,0.012112036336109008,134,1321,0.008501518368721008,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,14,0.20000000000000018,2000,0.07462686567164178,0.00984102952308857,134,1321,0.003118481159210205,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,15,-0.5499999999999949,2000,0.07462686567164178,0.01968205904617714,134,1321,0.021988603115081787,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,16,0.10000000000000009,2000,0.07462686567164178,0.009084027252081756,134,1321,0.006272654175758362,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,17,-0.30000000000000027,2000,0.05223880597014925,0.013626040878122634,134,1321,0.010748224377632142,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,18,-0.14999999999999458,2000,0.09701492537313433,0.01514004542013626,134,1321,-0.00015051424503326416,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,19,-0.10000000000000009,2000,0.11194029850746269,0.018925056775170326,134,1321,0.048488503932952884,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,0,0.40000000000000036,2000,0.14925373134328357,0.014383043149129448,134,1321,0.037548237085342405,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,1,-0.14999999999999458,2000,0.11194029850746269,0.018168054504163512,134,1321,0.035159361124038696,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,2,-0.20000000000000018,2000,0.09701492537313433,0.018925056775170326,134,1321,0.023489659428596498,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,3,0.15000000000000568,2000,0.11194029850746269,0.011355034065102196,134,1321,0.026353776454925537,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,4,-0.5499999999999949,2000,0.11194029850746269,0.025738077214231644,134,1321,0.04037723183631897,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,5,-0.04999999999999449,2000,0.1044776119402985,0.018925056775170326,134,1321,0.04107547247409821,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,6,-0.04999999999999449,2000,0.11940298507462686,0.018925056775170326,134,1321,0.044018447279930116,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,7,-0.10000000000000009,2000,0.1791044776119403,0.025738077214231644,134,1321,0.006059311866760254,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,8,-0.04999999999999449,2000,0.11940298507462686,0.0174110522331567,134,1321,0.024438735008239745,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,9,-1.100000000000001,2000,0.2835820895522388,0.06283118849356548,134,1321,-0.2403620376586914,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
