selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
cosine_distance/cls,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,unseen,E1,0.1,1.0,,2.3554166666666645,2.071177083333331,2.6298124999999968,0.01708333333333112,0.0,0.08835416666666616,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_front,0,unseen,E1,0.2,1.0,,-2.7962499999999997,-3.2522708333333306,-2.387916666666669,7.644583333333343,7.178114583333337,8.083364583333342,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,unseen,E1,0.2,1.0,,4.075833333333334,3.67041666666666,4.455437500000005,0.7725000000000097,0.5795625000000103,0.9604375000000129,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
