layer,metric_name,score,n_samples,summary_mode,label_access,corruption,severity,split,is_observed,model_fingerprint
4,amplification_ratio,1.1715016148484845,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,knn_preservation,0.35777274338148946,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,relative_distance,0.44235738367773014,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,cosine_distance,0.10337307611992087,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,one_minus_cka,0.061933190936721005,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,amplification_ratio,0.8540028001314692,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,knn_preservation,0.41558633351512614,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,relative_distance,0.10377868418956535,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,cosine_distance,0.005476697823888027,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,one_minus_cka,0.07521815900893758,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,amplification_ratio,1.215518485455262,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,knn_preservation,0.37894259653315376,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,relative_distance,0.3822784164564411,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,cosine_distance,0.07681215393927257,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,one_minus_cka,0.06477910291051481,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,amplification_ratio,0.8641845497823583,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,knn_preservation,0.4153458869561811,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
6,relative_distance,0.1345471194030708,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
