experiment,corruption,severity,intervention_type,fraction,alpha,norm_cap,layer_id,n_seeds,U_mean,U_std,U_min,U_max,n_images_mean,n_images_std,n_images_min,n_images_max,recovery_rate_mean,recovery_rate_std,recovery_rate_min,recovery_rate_max,new_error_rate_mean,new_error_rate_std,new_error_rate_min,new_error_rate_max,corruption_failure_set_size_mean,corruption_failure_set_size_std,corruption_failure_set_size_min,corruption_failure_set_size_max,still_correct_set_size_mean,still_correct_set_size_std,still_correct_set_size_min,still_correct_set_size_max,margin_change_mean,margin_change_std,margin_change_min,margin_change_max,model_fingerprint
E1,gaussian_noise,1,partial_channel,0.05,1.0,,5,20,0.14250000000000373,0.24130947589743468,-0.30000000000000027,0.550000000000006,2000.0,0.0,2000,2000,0.09328358208955224,0.022124661595455872,0.05970149253731343,0.13432835820895522,0.012339137017411054,0.0023312979147988846,0.009084027252081756,0.015897047691143074,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.038253649264574044,0.00814595564761859,0.02687861883640289,0.05757853543758392,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,5,20,0.3425000000000028,0.3415425534094879,-0.34999999999999476,0.8500000000000063,2000.0,0.0,2000,2000,0.16865671641791047,0.030568741367401665,0.1044776119402985,0.22388059701492538,0.017827403482210447,0.003253441523781996,0.012112036336109008,0.024224072672218017,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.07424211698174477,0.010815269081104757,0.05881098449230194,0.09070486092567444,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,5,20,0.9200000000000053,0.4098780306383848,0.2500000000000058,2.0500000000000074,2000.0,0.0,2000,2000,0.273134328358209,0.04210409068492185,0.21641791044776118,0.373134328358209,0.021915215745647233,0.0027620893528591635,0.018168054504163512,0.028009084027252083,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.1459680496931076,0.017656584639263517,0.11878556251525879,0.18860459733009338,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,6,20,0.040000000000003366,0.14473205733717995,-0.24999999999999467,0.2500000000000058,2000.0,0.0,2000,2000,0.03395522388059701,0.010407001628585192,0.014925373134328358,0.05223880597014925,0.004958364875094626,0.0019873443904210916,0.002271006813020439,0.011355034065102196,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.006412476950883865,0.0031575483857049997,0.001362966537475586,0.014159204840660095,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,6,20,0.16000000000000347,0.2731878089288919,-0.24999999999999467,0.8500000000000063,2000.0,0.0,2000,2000,0.09402985074626866,0.020458910613331948,0.04477611940298507,0.11940298507462686,0.011430734292202876,0.0028631566379243452,0.006813020439061317,0.0174110522331567,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.03890976512432099,0.006415619498718112,0.026588189125061036,0.050530054092407226,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,6,20,0.34750000000000225,0.22505847193445888,-0.04999999999999449,0.7000000000000006,2000.0,0.0,2000,2000,0.15373134328358212,0.030376362229584692,0.09701492537313433,0.19402985074626866,0.01623769871309614,0.0019721096361111482,0.012869038607115822,0.01968205904617714,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.07765793763399123,0.009592183006925865,0.06243818366527557,0.09513203895092011,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,6,20,0.8675000000000022,0.31299697324919723,0.30000000000000027,1.3500000000000068,2000.0,0.0,2000,2000,0.2608208955223881,0.04231762012889559,0.19402985074626866,0.34328358208955223,0.021915215745647237,0.0031973354364055245,0.016654049962149888,0.028009084027252083,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.1524345429122448,0.01831377868424796,0.12619831383228303,0.20669859158992768,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,7,20,0.0025000000000036104,0.1437056567761825,-0.24999999999999467,0.35000000000000586,2000.0,0.0,2000,2000,0.03283582089552239,0.010385856327439692,0.014925373134328358,0.04477611940298507,0.005223315669947009,0.0017174725687944452,0.002271006813020439,0.00757002271006813,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.006426539891958237,0.0029280996860633567,0.0008299273252487183,0.012806692600250243,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,7,20,0.09000000000000286,0.19775050735180053,-0.24999999999999467,0.5000000000000004,2000.0,0.0,2000,2000,0.09029850746268656,0.01980370543345259,0.06716417910447761,0.13432835820895522,0.011506434519303558,0.0030339795316595333,0.006813020439061317,0.016654049962149888,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.04287120515108108,0.009148327473249597,0.03261800456047058,0.06935186815261841,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,7,20,0.3700000000000031,0.2806946271024979,-0.34999999999999476,0.7500000000000062,2000.0,0.0,2000,2000,0.14477611940298504,0.02088429728792755,0.09701492537313433,0.1791044776119403,0.01442089326267979,0.0032994678806055355,0.009084027252081756,0.02195306585919758,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.08483381130695342,0.010365101212670435,0.07055466067790984,0.10855915021896362,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,7,20,0.7750000000000041,0.24788579713459272,0.2500000000000058,1.1500000000000066,2000.0,0.0,2000,2000,0.24701492537313433,0.030036734026116573,0.17164179104477612,0.2835820895522388,0.020552611657834976,0.002792496599676713,0.015897047691143074,0.028009084027252083,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.16248935586214067,0.0159598383942529,0.13946227073669434,0.20482044756412507,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,8,20,-0.019999999999997242,0.13707470110932418,-0.30000000000000027,0.30000000000000027,2000.0,0.0,2000,2000,0.028731343283582084,0.011929246652719617,0.007462686567164179,0.05970149253731343,0.004996214988644966,0.001636540904692146,0.0,0.008327024981074944,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.006781678205728529,0.0022430870594040537,0.0031697288751602174,0.012071106672286988,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,8,20,0.1525000000000032,0.20031225624010202,-0.14999999999999458,0.45000000000000595,2000.0,0.0,2000,2000,0.08134328358208955,0.013887732668234128,0.05970149253731343,0.1044776119402985,0.009727479182437548,0.0029192281464035684,0.004542013626040878,0.016654049962149888,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.043649606764316555,0.009756858791185279,0.033546988487243655,0.07080286359786987,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,8,20,0.44750000000000345,0.26580315233170837,0.050000000000005596,0.9000000000000008,2000.0,0.0,2000,2000,0.1458955223880597,0.03188980378458496,0.07462686567164178,0.19402985074626866,0.013209689629068887,0.00258147179811173,0.009084027252081756,0.01968205904617714,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.08656246388554573,0.012745998596539323,0.07323129856586456,0.12000859558582305,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,8,20,0.9700000000000044,0.3036618618065003,0.550000000000006,1.550000000000007,2000.0,0.0,2000,2000,0.2492537313432836,0.035203503765606964,0.1865671641791045,0.3208955223880597,0.01733535200605602,0.002263024339066598,0.012869038607115822,0.021196063588190765,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.16767556369900702,0.01828461796123286,0.13801279401779173,0.20797312760353087,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,9,20,2.7755575615628914e-15,0.1597695709122156,-0.24999999999999467,0.20000000000000018,2000.0,0.0,2000,2000,0.02798507462686567,0.010236616284306478,0.007462686567164179,0.04477611940298507,0.004239212717638153,0.0012378050153847501,0.002271006813020439,0.006056018168054504,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.007245175141096116,0.0016311527604991373,0.0035738015174865724,0.009731885194778443,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,9,20,0.2775000000000033,0.23253466068750436,-0.20000000000000018,0.550000000000006,2000.0,0.0,2000,2000,0.08134328358208956,0.017939881548941012,0.04477611940298507,0.11194029850746269,0.007910673732021197,0.0026047340100358953,0.003785011355034065,0.012112036336109008,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.04585564194321632,0.006207984862876583,0.037668992400169375,0.06234971749782562,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
