selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
one_minus_cka/cls,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,observed,E1,0.05,1.0,,1.8637499999999985,1.6526770833333349,2.0679583333333325,0.0,0.0,0.06045833333333291,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_front,0,observed,E1,0.1,1.0,,1.6441666666666688,1.2515729166666647,2.026447916666665,2.370000000000001,2.0470833333333407,2.7118125,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,observed,E1,0.1,1.0,,3.277083333333329,2.963718750000001,3.5636562500000033,0.7370833333333406,0.5945625000000019,0.8892083333333319,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,observed,E1,0.1,1.0,,4.01416666666667,3.686947916666662,4.339187499999993,0.0,0.0,0.027520833333327003,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,10,observed,E1,0.1,1.0,,4.01416666666667,3.686947916666662,4.339187499999993,0.0,0.0,0.027520833333327003,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,observed,E1,0.1,1.0,,1.6441666666666688,1.2515729166666647,2.026447916666665,2.370000000000001,2.0470833333333407,2.7118125,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,observed,E1,0.1,1.0,,3.9562500000000056,3.626229166666665,4.27501041666666,0.057916666666664174,0.0,0.14920833333333475,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,observed,E1,0.1,1.0,,4.01416666666667,3.686947916666662,4.339187499999993,0.0,0.0,0.027520833333327003,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,observed,E1,0.1,1.0,,3.472083333333329,3.170822916666659,3.7725416666666662,0.5420833333333408,0.4570729166666705,0.6275312500000101,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_front,0,observed,E1,0.2,1.0,,1.4037499999999976,0.91875,1.885625,7.248749999999993,6.763708333333318,7.769197916666674,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,observed,E1,0.2,1.0,,6.761250000000012,6.327864583333336,7.183000000000004,1.891249999999979,1.6553437499999866,2.126708333333324,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,observed,E1,0.2,1.0,,8.652499999999991,8.139156250000005,9.177947916666678,0.0,0.0,0.0,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,10,observed,E1,0.2,1.0,,8.652499999999991,8.139156250000005,9.177947916666678,0.0,0.0,0.0,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
